cd_os,ds_grupo,vl_quant,vl_preco_unitario
31729694,PEÇAS MAQUINAS,1.0000,673.2500000
32923676,SUPRIMENTOS MAQUINAS,1.0000,236.3700000
26172132,IMOBILIZADOS MAQUINAS,1.0000,4624.8400000
34812543,SUPRIMENTOS MAQUINAS,1.0000,274.1500000
31323560,IMOBILIZADOS MAQUINAS,1.0000,4643.8000000
30049483,SUPRIMENTOS MAQUINAS,1.0000,223.6100000
33876678,SUPRIMENTOS MAQUINAS,1.0000,222.6300000
32671282,SUPRIMENTOS MAQUINAS,1.0000,223.4900000
26847408,SUPRIMENTOS MAQUINAS,1.0000,222.8100000
32671954,PEÇAS MAQUINAS,1.0000,85.4100000
33524332,SUPRIMENTOS MAQUINAS,1.0000,275.1600000
27745228,SUPRIMENTOS MAQUINAS,2.0000,223.6800000
30539577,SUPRIMENTOS MAQUINAS,1.0000,242.9400000
27712535,SUPRIMENTOS MAQUINAS,2.0000,222.8100000
27642076,SUPRIMENTOS MAQUINAS,1.0000,320.0300000
33702430,SUPRIMENTOS MAQUINAS,1.0000,273.9500000
28372186,SUPRIMENTOS MAQUINAS,1.0000,752.1500000
29115575,SUPRIMENTOS MAQUINAS,2.0000,259.2800000
35031799,SUPRIMENTOS MAQUINAS,1.0000,273.9800000
28877362,SUPRIMENTOS MAQUINAS,1.0000,660.1000000
29065667,SUPRIMENTOS MAQUINAS,1.0000,222.7400000
30579889,SUPRIMENTOS MAQUINAS,1.0000,259.4000000
28131241,SUPRIMENTOS MAQUINAS,1.0000,322.8000000
26427948,SUPRIMENTOS MAQUINAS,2.0000,223.7000000
33058485,ACESSORIOS MAQUINAS,1.0000,72.9300000
28187749,SUPRIMENTOS MAQUINAS,1.0000,367.1700000
34936786,SUPRIMENTOS MAQUINAS,1.0000,390.6700000
30687138,PEÇAS MAQUINAS,1.0000,20.0900000
35302078,SUPRIMENTOS MAQUINAS,1.0000,347.8700000
32368401,SUPRIMENTOS MAQUINAS,1.0000,309.2500000
33404058,PEÇAS MAQUINAS,3.0000,1725.1600000
26702940,PEÇAS MAQUINAS,1.0000,1138.0200000
28803845,SUPRIMENTOS MAQUINAS,1.0000,132.3500000
34124110,SUPRIMENTOS MAQUINAS,1.0000,131.8400000
34467887,IMOBILIZADOS MAQUINAS,1.0000,4339.3400000
34465874,IMOBILIZADOS MAQUINAS,1.0000,3714.0500000
28371432,SUPRIMENTOS MAQUINAS,1.0000,152.2400000
33941811,SUPRIMENTOS MAQUINAS,1.0000,131.8300000
34815811,SUPRIMENTOS MAQUINAS,1.0000,131.6300000
34467472,IMOBILIZADOS MAQUINAS,1.0000,1880.2800000
34465918,IMOBILIZADOS MAQUINAS,1.0000,4344.9700000
28726155,SUPRIMENTOS MAQUINAS,1.0000,132.1400000
35034418,SUPRIMENTOS MAQUINAS,1.0000,131.7000000
28712345,PEÇAS MAQUINAS,3.0000,1476.7000000
